שם יישוב,אג''ס, אוכלוסייה*  ,ערך מדד**,  אשכול***   (מ-1 עד 10)  ,חציון גיל,יחס תלות,אחוז משפחות עם 4 ילדים ויותר,ממוצע שנות לימוד של בני 54-25,אחוז בעלי תואר אקדמי מבני 54-27,אחוז בעלי הכנסה מעבודה מבני 54-25,אחוז נשים בנות,אחוז בעלי הכנסה מעבודה מעל פעמיים השכר הממוצע,אחוז בעלי הכנסה מעבודה מתחת לשכר המינימום,אחוז מקבלי הבטחת הכנסה והשלמת הכנסה בזקנה ושאירים מבני 20 ומעלה,הכנסה חודשית ממוצעת לנפש,מספר כלי רכב בבעלות ל-100 תושבים בני 17 ומעלה,ממוצע אגרה בעד רשיון לרכב ,"ממוצע מספר ימי שהייה בחו""ל",סה''כ,נשואים/נשואות,גרושים/גרושות,אלמנים/אלמנות,רווקים/רווקות,משפחות שבראשן עומד הורה עצמאי,גרוש-אלמן-משפחות שבראשן עומד הורה עצמאי%,עולים מרוסיה,עולים מאתיופיה,עולים מארה''ב,עולים מדרא''פ,עולים משאר הארצות,סה''כ עולים,עולים %,0-5,06-דצמ,13-17,18-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-120,עבירות בטחון,עבירות כלפי המוסר,עבירות כלפי הרכוש,עבירות מרמה,עבירות נגד גוף,עבירות סדר ציבורי,קבוצת כל השאר,,עבירות רשוי,עבירות תנועה,עבירות מין,עבירות כלכליות,עבירות נגד אדם,עבירות מנהליות,סעיפי הגדרה,שאר עבירות,neighborhood_1,neighborhood_2,neighborhood_3
באר שבע,226,"1,349",-0.156,5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1462,629,155,84,594,23,17.92,100,21,3,2,605,731,50.0,86,115,80,70,52,93,87,79,68,92,93,105,100,101,124,117,0,8,57,5,19,51,7,0,0,1,2,1,0,0,0,0,יא,,
באר שבע,234,"3,017",0.529,7,33,67.5,5.5,13.62,37.59,87.76,11.04,16.37,35.15,3.48,"6,858",52.97,"1,394",7.86,2847,1263,171,102,1311,34,10.78,93,18,5,0,766,882,30.98,178,265,196,209,158,198,130,163,153,199,200,176,207,154,128,133,2,5,107,11,36,100,11,1,2,6,3,1,0,0,0,0,נחל עשן,,
באר שבע,311,"3,593",0.236,6,35,69.6,4.93,13.2,31.02,90.21,7.93,10.47,37.38,8.05,"5,926",46.52,"1,337",6.7,3366,1481,282,149,1454,48,14.23,173,44,3,0,1257,1477,43.88,231,337,193,184,149,219,176,220,216,195,222,234,237,163,166,224,0,18,99,17,30,76,9,0,1,4,4,0,0,0,0,0,נחל עשן,,
באר שבע,312,"5,012",0.072,6,35,74.7,4.51,13.1,29.73,87.07,10.51,10.15,37.85,9.79,"5,643",43.79,"1,320",6.44,4925,2149,408,234,2130,69,14.44,257,38,6,0,1918,2219,45.06,369,484,295,251,191,294,285,306,273,301,320,284,353,292,266,361,2,23,120,18,34,112,14,0,4,5,2,3,3,0,0,1,נחל עשן,,
באר שבע,313,"3,178",0.11,6,35,72.4,7.04,13.15,30.11,87.12,11.37,11.6,36.55,10.26,"5,991",43.07,"1,339",6.58,2981,1280,254,142,1304,39,14.59,176,29,2,1,1169,1377,46.19,212,279,178,157,140,201,177,165,159,178,223,190,224,155,134,209,2,38,108,15,44,128,12,0,3,3,1,3,1,1,0,0,נחל עשן,,
באר שבע,411,"4,882",0.521,7,23,91.6,10.9,13.86,37.88,87.43,7.97,20.46,32.04,0.95,"6,715",61.49,"1,523",6.72,3590,1510,97,29,1954,25,4.21,38,3,0,0,402,443,12.34,184,517,460,358,231,193,80,133,267,383,306,169,130,85,54,40,1,27,143,28,45,126,13,1,3,9,4,3,2,0,0,0,סיגליות,,
באר שבע,412,"2,695",-0.182,5,36,77.2,8.69,12.83,29.7,87.9,11.42,7.93,42.48,14.72,"5,254",37.85,"1,315",6.74,2444,961,290,125,1067,46,18.86,258,32,5,3,898,1196,48.94,179,228,128,139,99,140,142,163,151,161,141,147,153,159,128,186,1,19,71,8,27,69,10,0,1,3,3,0,1,0,0,0,נווה זאב,,
באר שבע,413,"6,848",-0.163,5,36,81.3,5.68,13.02,28.53,87.41,12.47,8.63,40.92,14.05,"5,240",36.66,"1,315",6.02,6109,2440,701,368,2598,112,19.33,453,71,13,0,2318,2855,46.73,417,507,357,371,221,366,346,385,335,416,414,320,372,400,359,523,0,38,128,35,44,123,16,0,5,9,9,8,0,0,0,0,נווה זאב,,
באר שבע,414,"7,101",0.145,6,34,85.1,7.36,13.14,30.38,88.35,10.21,10.99,35.12,6.5,"5,647",44.91,"1,336",6.14,6404,2573,620,320,2890,146,16.96,288,16,21,0,1773,2098,32.76,483,617,520,410,228,352,342,392,400,476,448,321,364,307,308,436,4,45,145,50,41,132,13,2,6,7,7,3,5,0,0,1,נווה זאב,,
באר שבע,415,"7,913",0.213,6,30,86.1,11.16,13.39,32.37,89.11,8.4,12.84,34.26,4.28,"5,673",50.09,"1,362",5.55,6526,2601,516,193,3214,114,12.61,195,13,8,3,1343,1562,23.94,634,805,554,441,250,360,379,426,427,443,415,330,323,258,185,296,2,35,136,31,32,110,12,1,2,7,8,4,1,0,0,0,נווה זאב,,
באר שבע,421,"5,617",0.958,8,34,60.9,6.8,14.03,45.84,88.33,9.76,20.14,33.96,0.67,"8,225",65.88,"1,489",9.08,5191,2558,191,153,2289,37,7.34,49,3,20,2,704,778,14.99,302,402,295,342,273,409,340,222,197,225,268,341,516,487,310,262,0,38,139,22,28,104,15,1,2,9,4,1,2,0,0,0,נאות לון,,
באר שבע,422,"5,791",0.232,6,33,81,8.59,13.47,36.03,87.71,10.99,12.8,36.81,4.91,"5,988",46.86,"1,332",6.14,5584,2193,493,217,2679,106,14.61,133,104,22,1,1276,1536,27.51,441,630,401,324,214,308,324,377,369,351,298,317,304,304,257,365,1,23,136,39,33,106,13,1,2,6,5,3,1,0,0,1,ט,,
באר שבע,423,"4,454",-0.187,5,35,89.8,10.42,12.98,30.17,86.65,12.85,8.44,40.35,10.38,"5,088",38.2,"1,275",5.59,4515,1684,533,259,2037,100,19.76,198,19,68,8,1544,1837,40.69,340,461,255,182,115,248,286,335,316,283,234,222,255,254,266,463,7,37,143,22,37,130,19,0,3,2,7,7,2,1,0,0,ט,,
באר שבע,431,"3,391",-0.334,4,29,88,20.94,13.03,44.28,82.19,18.32,9.26,43.33,5.47,"4,455",38.94,"1,274",4.84,3936,1529,268,128,2011,44,11.18,192,9,125,7,1263,1596,40.55,342,472,258,208,157,288,283,292,246,225,203,188,170,181,129,294,1,12,114,20,26,82,12,0,1,2,1,1,1,0,0,0,ה,,
באר שבע,432,"3,515",-0.483,4,36,85.2,8.69,12.26,27.23,83.88,15.96,5.89,42.29,15.84,"4,740",33.06,"1,277",5.28,3730,1403,481,236,1605,61,20.86,267,84,26,2,1554,1933,51.82,244,269,170,152,138,228,224,217,187,231,219,221,227,230,285,488,2,40,123,18,30,122,14,0,2,4,7,1,3,0,1,0,ה,,
באר שבע,433,"1,670",-1.053,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1832,575,313,103,841,55,25.71,119,148,4,1,728,1000,54.59,145,155,87,80,72,116,140,118,133,93,104,94,108,117,104,166,1,32,81,15,34,88,8,0,3,3,3,0,0,0,0,0,ה,,
באר שבע,434,"3,905",-0.962,3,40,115.2,14.61,11.9,19.26,81.27,17.59,4.12,45.66,25.47,"3,981",29.08,"1,305",3.88,3975,1455,459,317,1738,44,20.63,233,38,60,10,1204,1545,38.87,316,312,191,164,120,202,236,201,183,170,184,260,266,292,235,642,3,40,133,25,50,131,15,0,6,9,7,5,0,0,0,0,ה,,
